"","Year","OSPR","BAEAA","NOHA","RSHA","PEFA"
"1",1934,0.0777777777777778,0.0182098765432099,0.291402116402116,0.193350970017637,0.058641975308642
"2",1935,0.263399652098282,0.0709665144596651,0.226000217438574,0.351837355946945,0.0225048923679061
"3",1936,0.329495614035088,0.0444078947368421,0.244569757727652,0.338006474519632,0.0637792397660819
"4",1937,0.323646125116713,0.021078431372549,0.20828197945845,0.217745098039216,0.0549112978524743
"5",1938,0.251167471819646,0.0360305958132045,0.426299746951921,0.251207729468599,0.0517310789049919
"6",1939,0.299259259259259,0.0525925925925926,0.436111111111111,0.466111111111111,0.0705555555555556
"7",1940,0.130214692714693,0.0466676841676842,0.239565527065527,0.218340455840456,0.036502849002849
"8",1941,0.27694109772423,0.0485609103078983,0.352409638554217,0.268674698795181,0.06285140562249
"9",1942,0.321771771771772,0.0500750750750751,0.175611325611326,0.19248712998713,0.0548584298584299
"10",1946,0.28454415954416,0.0816951566951567,0.276938339438339,0.35954415954416,0.0497507122507123
"11",1947,0.416748935346496,0.116952187379017,0.293142663569493,0.393510452961672,0.0285714285714286
"12",1948,0.270032510996366,0.0852935551730732,0.322011856951616,0.427878179384203,0.0507506215337541
"13",1949,0.340940656565657,0.111458333333333,0.308549783549784,0.426627886002886,0.0559163059163059
"14",1950,0.504573170731707,0.14800135501355,0.333333333333333,0.495189701897019,0.0453929539295393
"15",1951,0.400713213213213,0.137575075075075,0.361261261261261,0.654992492492492,0.039039039039039
"16",1952,0.482554200542005,0.113143631436314,0.489532520325203,0.598712737127371,0.0508807588075881
"17",1953,0.416069199215267,0.088808632067059,0.349794899233101,0.25252808988764,0.0279650436953808
"18",1954,0.442677626606198,0.119520030234316,0.238392857142857,0.429298941798942,0.0382275132275132
"19",1955,0.520051085568327,0.134701696770662,0.316776135741653,0.578379857690203,0.0531609195402299
"20",1956,0.458687830687831,0.0724391534391534,0.222031746031746,0.436481481481481,0.0248677248677249
"21",1957,0.52442405785429,0.0745893318567737,0.315527786167321,0.31766334440753,0.022609819121447
"22",1958,0.496318607764391,0.052710843373494,0.315763052208835,0.66802925989673,0.0416666666666667
"23",1959,0.452723214285714,0.0561805555555556,0.396215277777778,0.534627976190476,0.0484722222222222
"24",1960,0.370915032679739,0.0369281045751634,0.339869281045752,0.450555555555556,0.0284313725490196
"25",1961,0.402913279132791,0.0410569105691057,0.373915989159892,0.442073170731707,0.0274390243902439
"26",1962,0.45868660472319,0.0458865660085172,0.276906697638405,0.382888114595432,0.0439363143631436
"27",1963,0.246811868686869,0.0172032828282828,0.231155303030303,0.271058802308802,0.0300505050505051
"28",1964,0.425725647277371,0.0262103796586555,0.241904678973645,0.308269476372925,0.0247445721583653
"29",1965,0.617670682730924,0.0398259705488621,0.245883534136546,0.430689424364123,0.0173025435073628
"30",1966,0.779310344827586,0.0344827586206897,0.277586206896552,0.339655172413793,0.0379310344827586
"31",1967,0.695970695970696,0.043956043956044,0.269230769230769,0.256410256410256,0.0293040293040293
"32",1968,0.409001956947162,0.060665362035225,0.469667318982387,0.534246575342466,0.0234833659491194
"33",1969,0.448275862068966,0.0374005305039788,0.289124668435013,0.246684350132626,0.0225464190981432
"34",1970,0.782022471910112,0.0449438202247191,0.559550561797753,0.292134831460674,0.0382022471910112
"35",1971,0.835443037974684,0.0379746835443038,0.430379746835443,0.275316455696203,0.0284810126582278
"36",1972,0.649164677804296,0.0214797136038186,0.367541766109785,0.293556085918854,0.0143198090692124
"37",1973,0.681102362204724,0.0177165354330709,0.352362204724409,0.228346456692913,0.0177165354330709
"38",1974,0.344632768361582,0.0188323917137476,0.306967984934087,0.342749529190207,0.0131826741996234
"39",1975,0.4,0.0306122448979592,0.544897959183673,0.418367346938776,0.0122448979591837
"40",1976,0.563734290843806,0.0233393177737881,0.44524236983842,0.299820466786355,0.0143626570915619
"41",1977,0.623853211009174,0.0220183486238532,0.536391437308869,0.488073394495413,0.0201834862385321
"42",1978,0.578901633646159,0.0306569343065693,0.283211678832117,0.240875912408759,0.0175182481751825
"43",1979,0.582165605095541,0.0101910828025478,0.303312101910828,0.299617834394904,0.0178343949044586
"44",1980,0.413600891861761,0.0111482720178372,0.545165025476756,0.390983869244739,0.0100334448160535
"45",1981,0.653570019723866,0.0168047337278107,0.343510848126233,0.297751479289941,0.0236686390532544
"46",1982,0.517836979534227,0.0126146788990826,0.341016366295584,0.36697247706422,0.00802752293577982
"47",1983,0.516229985443959,0.0149719276356831,0.355713245997089,0.49235807860262,0.0109170305676856
