food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
MANGOS,83.46,60,0.82,0.38,14.98,1.6,11,0.16,10,14,168,1,0.09,0.111,36.4,0.028,0.038,0.669,0.119,43,1082,165
MULBERRIES,87.68,43,1.44,0.39,9.8,1.7,39,1.85,18,38,194,10,0.12,0.06,36.4,0.029,0.101,0.62,0.05,6,25,140
NECTARINES,87.59,44,1.06,0.32,10.55,1.7,6,0.28,9,26,201,0,0.17,0.086,5.4,0.034,0.027,1.125,0.025,5,332,143
ORANGES,86.75,47,0.94,0.12,11.75,2.4,40,0.1,10,14,181,0,0.07,0.045,53.2,0.087,0.04,0.282,0.06,30,225,180
PAPAYAS,88.06,43,0.47,0.26,10.82,1.7,20,0.25,21,10,182,8,0.08,0.045,60.9,0.023,0.027,0.357,0.038,37,950,145
PASSION FRUIT,72.93,97,2.2,0.7,23.38,10.4,12,1.6,29,68,348,28,0.1,0.086,30,0,0.13,1.5,0.1,14,1272,236
PEACHES,88.87,39,0.91,0.25,9.54,1.5,6,0.25,9,20,190,0,0.17,0.068,6.6,0.024,0.031,0.806,0.025,4,326,154
PEARS,83.96,57,0.36,0.14,15.23,3.1,9,0.18,7,12,116,1,0.1,0.082,4.3,0.012,0.026,0.161,0.029,7,25,140
PERSIMMONS,80.32,70,0.58,0.19,18.59,3.6,8,0.15,9,17,161,1,0.11,0.113,7.5,0.03,0.02,0.1,0.1,8,1627,168
PINEAPPLE,86,50,0.54,0.12,13.12,1.4,13,0.29,12,8,109,1,0.12,0.11,47.8,0.079,0.032,0.5,0.112,18,58,165
PLANTAINS,65.28,122,1.3,0.37,31.89,2.3,3,0.6,37,34,499,4,0.14,0.081,18.4,0.052,0.054,0.686,0.299,22,1127,148
PLUMS,87.23,46,0.7,0.28,11.42,1.4,6,0.17,7,16,157,0,0.1,0.057,9.5,0.028,0.026,0.417,0.029,5,345,165
POMEGRANATES,77.93,83,1.67,1.17,18.7,4,10,0.3,12,36,236,3,0.35,0.158,10.2,0.067,0.053,0.293,0.075,38,0,87
PRICKLY PEARS,87.55,41,0.73,0.51,9.57,3.6,56,0.3,85,24,220,5,0.12,0.08,14,0.014,0.06,0.46,0.06,6,43,149
QUINCES,83.8,57,0.4,0.1,15.3,1.9,11,0.7,8,17,197,4,0.04,0.13,15,0.02,0.03,0.2,0.04,3,40,92
RASPBERRIES,85.75,52,1.2,0.65,11.94,6.5,25,0.69,22,29,151,1,0.42,0.09,26.2,0.032,0.038,0.598,0.055,21,33,123
RHUBARB,93.61,21,0.9,0.2,4.54,1.8,86,0.22,12,14,288,4,0.1,0.021,8,0.02,0.03,0.3,0.024,7,102,122
SAPODILLA,78,83,0.44,1.1,19.96,5.3,21,0.8,12,12,193,12,0.1,0.086,14.7,0,0.02,0.2,0.037,14,60,241
SAPOTE,64.87,124,1.45,0.46,32.1,5.4,18,0.78,11,26,454,7,0.19,0.213,23,0.013,0.116,1.432,0.72,7,143,175
SOUR RED CHERRIES,86.13,50,1,0.3,12.18,1.6,16,0.32,9,15,173,3,0.1,0.104,10,0.03,0.04,0.4,0.044,8,1283,155
SOURSOP,81.16,66,1,0.3,16.84,3.3,14,0.6,21,27,278,14,0.1,0.086,20.6,0.07,0.05,0.9,0.059,14,2,225
STARFRUIT,91.38,31,1.04,0.33,6.73,2.8,3,0.08,10,12,133,2,0.12,0.137,34.4,0.014,0.016,0.367,0.017,12,61,132
STRAWBERRIES,90.95,32,0.67,0.3,7.68,2,16,0.41,13,24,153,1,0.14,0.048,58.8,0.024,0.022,0.386,0.047,24,12,152
SUGAR-APPLES,73.23,94,2.06,0.29,23.64,4.4,24,0.6,21,32,247,9,0.1,0.086,36.3,0.11,0.113,0.883,0.2,14,6,250
SWEET CHERRIES,82.25,63,1.06,0.2,16.01,2.1,13,0.36,11,21,222,0,0.07,0.06,7,0.027,0.033,0.154,0.049,4,64,138
TAMARINDS,31.4,239,2.8,0.6,62.5,5.1,74,2.8,92,113,628,28,0.1,0.086,3.5,0.428,0.152,1.938,0.066,14,30,120
TANGERINES,85.17,53,0.81,0.31,13.34,1.8,37,0.15,12,20,166,2,0.07,0.042,26.7,0.058,0.036,0.376,0.078,16,681,195
WATERMELON,91.45,30,0.61,0.15,7.55,0.4,7,0.24,10,11,112,1,0.1,0.042,8.1,0.033,0.021,0.178,0.045,3,569,154
ADZUKI BEANS,13.44,329,19.87,0.53,62.9,12.7,66,4.98,127,381,1254,5,5.04,1.094,0,0.455,0.22,2.63,0.351,622,17,197
BLACK BEANS,11.02,341,21.6,1.42,62.36,15.5,123,5.02,171,352,1483,5,3.65,0.841,0,0.9,0.193,1.955,0.286,444,17,194
BLACK TURTLE BEANS,11,339,21.25,0.9,63.25,15.5,160,8.7,160,440,1500,9,2.2,1,0,0.9,0.193,1.955,0.286,444,17,184
CHICKPEAS,7.68,378,20.47,6.04,62.95,12.2,57,4.31,79,252,718,24,2.76,0.656,4,0.477,0.212,1.541,0.535,557,67,200
CRANBERRY BEANS,12.39,335,23.03,1.23,60.05,24.7,127,5,156,372,1332,6,3.63,0.794,0,0.747,0.213,1.455,0.309,604,2,195
FRENCH BEANS,10.77,343,18.81,2.02,64.11,25.2,186,3.4,188,304,1316,18,1.9,0.44,4.6,0.535,0.221,2.083,0.401,399,8,184
GREAT NORTHERN BEANS,10.7,339,21.86,1.14,62.37,20.2,175,5.47,189,447,1387,14,2.31,0.837,5.3,0.653,0.237,1.955,0.447,482,0,183
HYACINTH BEANS,9.38,344,23.9,1.69,60.74,25.6,130,5.1,283,372,1235,21,9.3,1.335,0,1.13,0.136,1.61,0.155,23,0,210
KIDNEY BEANS,11.75,333,23.58,0.83,60.01,24.9,143,8.2,140,407,1406,24,2.79,0.958,4.5,0.529,0.219,2.06,0.397,394,0,184
LENTILS,8.26,352,24.63,1.06,63.35,10.7,35,6.51,47,281,677,6,3.27,0.754,4.5,0.873,0.211,2.605,0.54,479,39,192
LIMA BEANS,10.17,338,21.46,0.69,63.38,19,81,7.51,224,385,1724,18,2.83,0.74,0,0.507,0.202,1.537,0.512,395,0,178
LUPIN SEEDS,10.44,371,36.17,9.74,40.37,18.9,176,4.36,198,440,1013,15,4.75,1.022,4.8,0.64,0.22,2.19,0.357,355,0,180
