food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
CHAYOTE,94.24,19,0.82,0.13,4.51,1.7,17,0.34,12,18,125,2,0.74,0.123,7.7,0.025,0.029,0.47,0.076,93,0,132
CHICORY GREENS,92,23,1.7,0.3,4.7,4,100,0.9,30,47,420,45,0.42,0.295,24,0.06,0.1,0.5,0.105,110,5717,29
CHICORY ROOTS,80,72,1.4,0.2,17.51,1.5,41,0.8,22,61,290,50,0.33,0.077,5,0.04,0.03,0.4,0.241,23,6,60
CHILANTRO,92.21,23,2.13,0.52,3.67,2.8,67,1.77,26,48,521,46,0.5,0.225,27,0.067,0.162,1.114,0.149,62,6748,4
CHIVES,90.65,30,3.27,0.73,4.35,2.5,92,1.6,42,58,296,3,0.56,0.157,58.1,0.078,0.115,0.647,0.138,105,4353,3
CHRYSANTHEMUM GARLAND,91.4,24,3.36,0.56,3.02,3,117,2.29,32,54,567,118,0.71,0.137,1.4,0.13,0.144,0.531,0.176,177,2320,25
CHRYSANTHEMUM LEAVES,91.4,24,3.36,0.56,3.01,3,117,2.3,32,54,567,118,0.71,0.137,1.4,0.13,0.144,0.531,0.176,177,1870,51
COLLARDS,89.62,32,3.02,0.61,5.42,4,232,0.47,27,25,213,17,0.21,0.046,35.3,0.054,0.13,0.742,0.165,129,5019,36
CUCUMBER,95.23,15,0.65,0.11,3.63,0.5,16,0.28,13,24,147,2,0.2,0.041,2.8,0.027,0.033,0.098,0.04,7,105,52
DANDELION GREENS,85.6,45,2.7,0.7,9.2,3.5,187,3.1,36,66,397,76,0.41,0.171,35,0.19,0.26,0.806,0.251,27,10161,55
DISHCLOTH GOURD,93.85,20,1.2,0.2,4.35,1.1,20,0.36,14,32,139,3,0.07,0.035,12,0.05,0.06,0.4,0.043,7,410,95
DOCK,93,22,2,0.7,3.2,2.9,44,2.4,103,63,390,4,0.2,0.131,48,0.04,0.1,0.5,0.122,13,4000,133
DRUMSTICK LEAVES,78.66,64,9.4,1.4,8.28,2,185,4,42,112,337,9,0.6,0.105,51.7,0.257,0.66,2.22,1.2,40,7564,21
DRUMSTICK PODS,88.2,37,2.1,0.2,8.53,3.2,30,0.36,45,50,461,42,0.45,0.084,141,0.053,0.074,0.62,0.12,44,74,100
EGGPLANT,92.3,25,0.98,0.18,5.88,3,9,0.23,14,24,229,2,0.16,0.081,2.2,0.039,0.037,0.649,0.084,22,23,82
ENDIVE,93.79,17,1.25,0.2,3.35,3.1,52,0.83,15,28,314,22,0.79,0.099,6.5,0.08,0.075,0.4,0.02,142,2167,25
EPAZOTE,89.21,32,0.33,0.52,7.44,3.8,275,1.88,121,86,633,43,1.1,0.19,3.6,0.028,0.348,0.639,0.152,215,57,0.8
FAVA BEANS,72.6,88,7.92,0.73,17.63,7.5,37,1.55,33,129,332,25,1,0.402,3.7,0.133,0.29,2.249,0.104,148,333,126
FENNEL BULB,90.21,31,1.24,0.2,7.3,3.1,49,0.73,17,50,414,52,0.2,0.066,12,0.01,0.032,0.64,0.047,27,963,87
FIREWEED LEAVES,70.78,103,4.71,2.75,19.22,10.6,429,2.4,156,108,494,34,2.66,0.32,2.2,0.033,0.137,4.674,0.632,112,3598,23
GARDEN CRESS,89.4,32,2.6,0.7,5.5,1.1,81,1.3,38,76,606,14,0.23,0.17,69,0.08,0.26,1,0.247,80,6917,50
GARLIC,58.58,149,6.36,0.5,33.06,2.1,181,1.7,25,153,401,17,1.16,0.299,31.2,0.2,0.11,0.7,1.235,3,9,136
GINGER ROOT,78.89,80,1.82,0.75,17.77,2,16,0.6,43,34,415,13,0.34,0.226,5,0.025,0.034,0.75,0.16,11,0,2
GRAPE LEAVES,73.32,93,5.6,2.12,17.31,11,363,2.63,95,91,272,9,0.67,0.415,11.1,0.04,0.354,2.362,0.4,83,27521,14
GREEN LEAF LETTUCE,94.98,15,1.36,0.15,2.87,1.3,36,0.86,13,29,194,28,0.18,0.029,9.2,0.07,0.08,0.375,0.09,38,7405,36
GREEN TOMATOES,93,23,1.2,0.2,5.1,1.1,13,0.51,10,28,204,13,0.07,0.09,23.4,0.06,0.04,0.5,0.081,9,642,180
HOT GREEN CHILI PEPPER,87.74,40,2,0.2,9.46,1.5,18,1.2,25,46,340,7,0.3,0.174,242.5,0.09,0.09,0.95,0.278,23,1179,45
HOT RED CHILI PEPPER,88.02,40,1.87,0.44,8.81,1.5,14,1.03,23,43,322,9,0.26,0.129,143.7,0.072,0.086,1.244,0.506,23,952,45
ICEBERG LETTUCE,95.64,14,0.9,0.14,2.97,1.2,18,0.41,7,20,141,10,0.15,0.025,2.8,0.041,0.025,0.123,0.042,29,502,72
IRISH MOSS SEAWEED,81.34,49,1.51,0.16,12.29,1.3,72,8.9,144,157,63,67,1.95,0.149,3,0.015,0.466,0.593,0.069,182,118,10
JERUSALEM-ARTICHOKES,78.01,73,2,0.01,17.44,1.6,14,3.4,17,78,429,4,0.12,0.14,4,0.2,0.06,1.3,0.077,13,20,150
JICAMA,90.07,38,0.72,0.09,8.82,4.9,12,0.6,12,18,150,4,0.16,0.048,20.2,0.02,0.029,0.2,0.042,12,21,120
KALE,84.04,49,4.28,0.93,8.75,3.6,150,1.47,47,92,491,38,0.56,1.499,120,0.11,0.13,1,0.271,141,9990,16
KELP,81.58,43,1.68,0.56,9.57,1.3,168,2.85,121,42,89,233,1.23,0.13,3,0.05,0.15,0.47,0.002,180,116,10
KOHLRABI,91,27,1.7,0.1,6.2,3.6,24,0.4,19,46,350,20,0.03,0.129,62,0.05,0.02,0.4,0.15,16,36,135
LAVER SEAWEED,85.03,35,5.81,0.28,5.11,0.3,70,1.8,2,58,356,48,1.05,0.264,39,0.098,0.446,1.47,0.159,146,5202,26
