"","year","AMAV","AMCO","AMPI","AMWI","BBPL","BCNH","BEKI","BEVI","BNST","BOGU","BRAC","BRPE","BUFF","BVSH","BWTE","CAGU","CANG","CANV","CATE","CITE","CLGR","COLO","DCCO","DUNL","EAGR","ELTE","FOTE","GADW","GBHE","GREG","GRHE","GRYE","GWTE","HEEG","HOGR","HOME","KILL","LBCU","LBDO","LESA","LESC","LEYE","MAGO","MALL","MAWR","NOHA","NOPI","NSHO","OSPR","PALO","PBGR","RBGU","RBME","REDH","RIRA","ROYT","RTLO","RUDU","RWBL","SAND","SEPL","SNEG","SORA","SPSA","SUSC","TRBL","VIRA","WEGR","WEGU","WESA","WFIB","WHIM","WILL","WIPH","WISN","YBCH"
"2010",2010,87,2069,248,1856,207,34,36,8,162,30,2558,251,405,1600,79,472,953,2,22,104,4,2,331,6,101,20,106,859,112,153,54,57,467,131,3,8,409,15,34,404,366,10,59,1048,66,35,781,574,45,23,170,253,42,171,9,3,3,540,1369,3,255,253,12,37,67,102,20,835,380,934,200,94,169,3,15,19
"2011",2011,110,3939,652,2426,193,52,38,1,176,88,38,529,442,124,95,240,1338,21,43,138,6,10,448,41,150,8,167,1040,96,140,36,69,795,59,5,20,537,58,161,716,246,18,10,1331,109,35,1224,950,57,36,143,683,78,132,36,54,3,703,1762,10,329,321,13,67,90,31,38,851,553,1831,295,88,117,6,5,16
"2012",2012,162,1373,165,1475,506,52,49,0,128,5,65,403,393,1328,65,92,1870,20,41,95,6,9,680,23,108,34,118,671,108,143,35,60,421,223,15,21,472,66,61,499,167,8,9,866,37,51,595,838,40,147,129,311,61,88,42,16,0,828,1318,10,229,318,9,58,80,21,7,679,508,975,192,89,53,36,13,19
"2013",2013,52,575,167,971,353,97,40,0,104,21,103,254,248,1084,81,33,1613,11,27,66,3,19,504,9,92,21,92,481,98,127,25,55,429,38,5,21,437,74,101,798,141,3,27,901,29,47,293,474,47,28,154,163,18,33,40,6,24,362,1160,66,437,242,2,61,78,62,4,1106,416,820,332,88,99,12,13,21
"2014",2014,25,280,75,1085,310,126,46,14,33,5,37,178,252,1618,15,30,1532,4,17,20,1,3,390,39,79,36,60,247,140,154,23,56,190,192,25,2,387,76,124,412,193,4,97,514,39,50,129,133,73,49,98,230,22,0,28,17,2,212,905,60,412,189,6,67,30,11,5,85,499,527,225,155,256,1,17,15
"2015",2015,47,701,311,1560,435,109,54,40,53,126,46,337,242,115,25,81,1012,0,9,47,2,7,261,28,75,2,5,206,140,162,24,40,267,19,30,3,394,133,6,834,222,7,115,433,41,25,246,447,61,7,86,261,10,6,28,10,9,241,951,24,823,152,2,55,2,30,3,103,395,577,135,127,231,0,4,48
