Year 2. site 1,,,,
Point 1,,,,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Vatica semifera,
,,,Litsea monopetala,
,,,,
Point 9,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Terminalia myriocarpa,Maesa sp1
,,,Terminalia myriocarpa,Maesa sp1
,,,Terminalia myriocarpa,Maesa sp1
,,,Saurauia nepalensis,Maesa sp1
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,,
Point 10,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Litsea sp1,Saurauia nepalensis
,,,Garcinia cowa,Saurauia nepalensis
,,,Garcinia cowa,Saurauia nepalensis
,,,Garcinia cowa,Saurauia nepalensis
,,,Garcinia cowa,Saurauia nepalensis
,,,Garcinia cowa,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Maesa sp1
,,,Saurauia nepalensis,Ficus lepidosa
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Eurya acuminata,
,,,,
Point 11,,,,
Trees,gbh,basal.area,Saplings,Seedlings
Eurya acuminata,26,53.79,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Saurauia nepalensis
,,,Saurauia nepalensis,Eurya acuminata
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,,
Point 12,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia nepalensis
,,,Eurya acuminata,Saurauia sp1
,,,Eurya acuminata,Saurauia sp1
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia nepalensis,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Saurauia sp1,
,,,Anplectrum assamicum,
,,,Anplectrum assamicum,
,,,Anplectrum assamicum,
,,,Persea sp4,
,,,Persea sp4,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,,
Year 2. site 2,,,,
Point 1,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Maesa sp1
,,,Eurya acuminata,Maesa sp1
,,,Wendlandia paniculata,Maesa sp1
,,,,Eurya acuminata
,,,,Eurya acuminata
,,,,Eurya acuminata
,,,,
Point 2,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Saurauia nepalensis
,,,Maesa sp1,Litsea monopetala
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,Eurya acuminata,
,,,,
Point 3,,,,
Trees,gbh,basal.area,Saplings,Seedlings
0,0,0,Maesa sp1,Rhus acuminata
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Maesa sp2
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,Eurya acuminata
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Maesa sp1,
,,,Eurya acuminata,
,,,Eurya acuminata,
