Year 25. site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Eurya acuminata,18,0,0,0,0,0,0,18.00,25.78,Maesa sp1,Saurauia nepalensis
Eurya acuminata,18,0,0,0,0,0,0,18.00,25.78,Maesa sp1,Michelia sp1
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,Maesa sp1,Cinnamomum tamala
Eurya acuminata,11,13,0,0,0,0,0,17.03,23.08,Maesa sp1,
Eurya acuminata,14,0,0,0,0,0,0,14.00,15.6,Maesa sp1,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,Maesa sp1,
Eurya acuminata,18,18,0,0,0,0,0,25.46,51.57,Maesa sp1,
Saurauia nepalensis,26,0,0,0,0,0,0,26.00,53.79,Maesa sp1,
Ixonanthes khasiana,36,0,0,0,0,0,0,36.00,103.13,Maesa sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Michelia sp1,
Wendlandia paniculata,33,0,0,0,0,0,0,33.00,86.66,Michelia sp1,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Michelia sp1,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Michelia sp1,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Eurya acuminata,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Eurya acuminata,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Eurya acuminata,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Ixonanthes khasiana,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,Ixonanthes khasiana,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,Persea sp1,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
Eurya acuminata,25,0,0,0,0,0,0,25.00,49.74,,
Eurya acuminata,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
Saurauia nepalensis,22,0,0,0,0,0,0,22.00,38.52,,
,,,,,,,,,,,
Point 2,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Eurya acuminata,25,10,0,0,0,0,0,26.93,57.69,Maesa sp2,Persea sp1
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,Maesa sp2,Persea sp1
Saurauia nepalensis,28,0,0,0,0,0,0,28.00,62.39,Maesa sp2,Michelia sp1
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Maesa sp2,Michelia sp1
Saurauia nepalensis,26,0,0,0,0,0,0,26.00,53.79,Maesa sp2,Michelia sp1
Saurauia nepalensis,33,0,0,0,0,0,0,33.00,86.66,Michelia sp1,Michelia sp1
Saurauia nepalensis,40,0,0,0,0,0,0,40.00,127.32,Michelia sp1,Michelia sp1
species3 ,12,0,0,0,0,0,0,12.00,11.46,Michelia sp1,Michelia sp1
species3 ,14,0,0,0,0,0,0,14.00,15.6,Michelia sp1,Saurauia nepalensis
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Michelia sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Michelia sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Wendlandia paniculata,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,
Saurauia nepalensis,15,0,0,0,0,0,0,15.00,17.9,Maesa sp1,
Saurauia nepalensis,15,0,0,0,0,0,0,15.00,17.9,Maesa sp1,
Saurauia nepalensis,15,0,0,0,0,0,0,15.00,17.9,Maesa sp1,
Saurauia nepalensis,18,0,0,0,0,0,0,18.00,25.78,Maesa sp1,
Saurauia nepalensis,19,0,0,0,0,0,0,19.00,28.73,Maesa sp1,
Saurauia nepalensis,19,0,0,0,0,0,0,19.00,28.73,Maesa sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,,
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,,
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,,
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,,
Eurya acuminata,10,0,0,0,0,0,0,10.00,7.96,,
Eurya acuminata,12,0,0,0,0,0,0,12.00,11.46,,
Eurya acuminata,12,0,0,0,0,0,0,12.00,11.46,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,12,0,0,0,0,0,0,12.00,11.46,,
,,,,,,,,,,,
Point 3,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Persea sp1,35,0,0,0,0,0,0,35.00,97.48,Ixonanthes khasiana,Michelia sp1
Engelhardia sp1,25,0,0,0,0,0,0,25.00,49.74,Meliosma sp1,Michelia sp1
Ixonanthes khasiana,30,0,0,0,0,0,0,30.00,71.62,Cinnamomum tamala,Wendlandia paniculata
Ixonanthes khasiana,30,0,0,0,0,0,0,30.00,71.62,Cinnamomum tamala,Wendlandia paniculata
Ixonanthes khasiana,26,0,0,0,0,0,0,26.00,53.79,Cinnamomum tamala,Persea sp1
Engelhardia sp1,23,0,0,0,0,0,0,23.00,42.1,Eurya acuminata,
Helicia robusta,40,0,0,0,0,0,0,40.00,127.32,Eurya acuminata,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,Eurya acuminata,
Saurauia nepalensis,23,0,0,0,0,0,0,23.00,42.1,Michelia sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,Michelia sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,Michelia sp1,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,Michelia sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,Michelia sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,Michelia sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,Maesa sp1,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,20,0,0,0,0,0,0,20.00,31.83,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,15,0,0,0,0,0,0,15.00,17.9,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,25,0,0,0,0,0,0,25.00,49.74,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,25,0,0,0,0,0,0,25.00,49.74,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,22,0,0,0,0,0,0,22.00,38.52,,
Eurya acuminata,23,0,0,0,0,0,0,23.00,42.1,,
,,,,,,,,,,,
Point 4,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Michelia sp1,35,35,30,25,25,0,0,67.82,366.06,Maesa sp1,Cinnamomum tamala
Michelia sp1,40,40,35,30,35,0,0,80.93,521.23,Maesa sp1,Cinnamomum tamala
Saurauia nepalensis,65,0,0,0,0,0,0,65.00,336.21,Maesa sp1,Ixonanthes khasiana
Saurauia nepalensis,40,25,0,0,0,0,0,47.17,177.06,Maesa sp1,Ixonanthes khasiana
Eurya acuminata,35,25,20,0,0,0,0,47.43,179.05,Maesa sp1,Ixonanthes khasiana
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Maesa sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,Persea sp1,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,Michelia sp1,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,Cinnamomum tamala,
Saurauia nepalensis,24,0,0,0,0,0,0,24.00,45.84,Cinnamomum tamala,
