"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"weight",0.85658736192762,0.0147754761978036,0.0414036094003737,0.00181473344730825,0.00572385385532144,0.0796687077896356,2.62573819367042e-05
"length",0.895988478953249,0.00298672070211452,0.00767155270640148,0.000344432644002193,0.0626886700817176,0.0125895882178012,0.017730556694714
"width.crown",0.320217866527149,0.120062145491221,0.051403041354353,0.463159513766521,0.0447689302796207,0.000374123964517653,1.4378616618003e-05
"width.root",0.015517033369179,0.170495888152152,0.727568337613964,0.0823347265106639,0.000675369161788953,0.00340499074135827,3.65445089252498e-06
"depth",0.351459132354113,0.419004590169511,0.0416826764462386,0.0536851645195473,0.133175075704872,0.000133598868501579,0.000859761937216501
"surface.len",0.916933198168073,0.0130455414581033,0.0131350938821633,0.00536745323075986,0.0160629655343065,0.0125564269416347,0.0228993207849596
"thickness",0.165669347217639,0.499643016125233,0.131161667021913,0.147548791082791,0.0478831325144508,0.00798167865239787,0.000112367385577568
