"","Name","D_lmass","D_wing","D_tarsus","D_bill","D_tail"
"379","Pectoral Sandpiper",0.407000027826248,13,2.1,1.9,7.1
"380","Sharp-tailed Sandpiper",0.101731892917973,10,1.8,1.6,3.8
"381","Purple Sandpiper",-0.121064955241493,-5,-0.800000000000001,-4.5,-1.8
"382","Dunlin",-0.0953101798043248,-4,-0.599999999999998,-3.4,29.5
"383","Curlew Sandpiper",-0.00158102799731896,-1,-1.7,-3.9,-0.799999999999997
"384","Stilt Sandpiper",-0.0792152355535043,-2,-1.3,-1.8,-0.700000000000003
"385","Buff-breasted Sandpiper",0.285320796266101,7,2.3,1.6,3.7
"386","Ruff",0.522620200258827,33,7.3,4.1,11.6
"387","Red-necked Phalarope",-0.143512281622203,-6,0.0999999999999979,-0.299999999999997,-2.5
"388","Red Phalarope",-0.182977509588875,-8,-0.299999999999997,-1.2,-5.2
"389","Greater Painted-snipe",-0.0852975805118952,-10.3,-2.9,-1.7,-1.6
"390","Comb-crested Jacana",-0.532027831416594,-19.3,-6.3,-3.8,-5.1
"391","Northern Jacana",-0.514730532828072,-15,-4.1,-1.5,-5
"392","Snowy Sheathbill",0.141532215868047,11,1.1,2.4,2
"393","Eurasian Oystercatcher",-0.0695260626486105,-1,-1.4,-8.80000000000001,-1
"394","African Oystercatcher",-0.0887563606057915,-4,-1.7,-8.39999999999999,5.40000000000001
"395","South Island Oystercatcher",-0.0691218122388548,-7,-1.7,-12,-2
"396","Pied Oystercatcher",-0.0390738294816915,-6.19999999999999,-2.3,-11,-2.59999999999999
"397","Variable Oystercatcher",-0.023433188014895,-6,0.100000000000001,-9,0
"398","Sooty Oystercatcher",-0.0503134818250004,0.5,0.5,-10.1,0.0999999999999943
"399","Black-winged Stilt",0.043620622475891,15,12,2.6,1.3
"400","Banded Stilt",0.00687287928776215,5.30000000000001,6,5.10000000000001,4.40000000000001
"401","Red-necked Avocet",0.00955764944772142,1.30000000000001,2.60000000000001,4.8,-1.3
"402","Eurasian Golden-Plover",-0.00569802111463691,0,0.699999999999996,0.199999999999999,-0.799999999999997
"403","Pacific Golden-Plover",-0.0741079721537217,-2.79999999999998,0.199999999999996,0.600000000000001,0.600000000000001
"404","American Golden-Plover",-0.00687287928776215,0,0.199999999999996,-0.100000000000001,1.09999999999999
"405","Red-breasted Plover",0.37469344944141,0.200000000000017,1.3,1.5,1
"406","Common Ringed Plover",-0.0187212956082092,-3,-0.299999999999997,-0.4,-1.3
"407","Little Ringed Plover",-0.0232268506098166,1,0.300000000000001,-0.200000000000001,1.8
"408","Wilson's Plover",-0.0655972824858129,-1.19999999999999,0.399999999999999,-0.100000000000001,0.699999999999996
"409","Killdeer",-0.0922455735799987,0,-0.199999999999996,-0.100000000000001,0.599999999999994
"410","Kentish Plover",0.0230860200341825,-1,0.5,0.200000000000001,0.600000000000001
"411","Red-capped Plover",-0.00801072374607914,0.400000000000006,0.0999999999999979,-0.0999999999999996,1.8
"412","Double-banded Plover",0.00682596507039968,2.99999999999999,1.2,0.199999999999999,-1
"413","Caspian Plover",-0.00790517950711322,0,-0.299999999999997,-0.300000000000001,2.2
"414","Red-kneed Dotterel",-0.0661398025045448,-0.700000000000003,0.399999999999999,0.5,0.900000000000006
"415","Wrybill",0.0329604858492605,0.299999999999997,0.699999999999999,1.1,1.3
"416","Northern Lapwing",-0.0686768657962196,5,0.399999999999999,0.200000000000003,5
"417","Masked Lapwing",0.0441077298155221,4,2.3,0.899999999999999,2.90000000000001
"418","Blacksmith Lapwing",-0.0303974771843718,0,-0.900000000000006,0.0999999999999979,4.10000000000001
"419","Senegal Lapwing",-0.0314632694557853,7,3.4,1.5,2.9
"420","Crowned Lapwing",0.0918075492531232,1,4.5,0.700000000000003,4.60000000000001
"421","Sociable Lapwing",0.231111720963387,2,0.599999999999994,0.699999999999999,2.3
"422","Collared Pratincole",0.0519597389307114,6,1,-0.399999999999999,5
"423","Australian Pratincole",0.0152674721307884,8.60000000000002,1.2,0.5,0.900000000000006
"424","South Polar Skua",-0.106847272064561,-5,-2.4,-1.5,1.40000000000001
"425","Pomarine Jaeger",-0.132759489845941,-10,-1.4,-1.1,23
"426","Parasitic Jaeger",-0.122389216071281,-6,-0.100000000000001,-0.699999999999999,1.39999999999998
"427","Black Skimmer",0.31773765518389,38,4.1,13.1,12
"428","White-eyed Gull",0.16400297627027,16,2.59999999999999,4.3,9
"429","Sooty Gull",0.190960919384662,13,2.9,3.2,7
"430","Mew Gull",0.137343561510877,19,3.4,3.4,10
"431","Ring-billed Gull",0.183735984186765,14,4.5,3.8,7.09999999999999
"432","Great Black-backed Gull",0.249654676862542,25,6.7,5.7,14
"433","Kelp Gull",0.144496924868614,15,3.5,4.9,15.5
"434","Glaucous-winged Gull",0.220921445749312,13.5,0.299999999999997,6.3,6.40000000000001
"435","Glaucous Gull",0.232546760292247,17,4.3,4.5,8
"436","Herring Gull",0.183755542494972,21,4.7,4.3,10
"437","Lesser Black-backed Gull",0.153204158223227,21,4.90000000000001,4.4,11
"438","Great Black-headed Gull",0.0854791451039976,33,8.7,8.5,14
"439","Grey-headed Gull",0.169899036795397,18,2.9,2.5,6
"440","Black-billed Gull",0.108566380551459,10.2,1.7,2.4,4.89999999999999
"441","Common Black-headed Gull",0.0963311089384318,11,1.2,1.8,-4.5
"442","Slender-billed Gull",0.152939292640961,15,2.8,3.3,8
"443","Bonaparte's Gull",0.105948578009381,5,0.799999999999997,1.2,3
"444","Laughing Gull",-0.0400053346136993,9,1.9,1.3,7
"445","Franklin's Gull",0.00714288751238001,4,-0.600000000000001,0.100000000000001,6
"446","Little Gull",0.0101523714640175,7,0.5,0.199999999999999,3.2
"447","Ivory Gull",0.196358020314205,9,1.8,2.59999999999999,6
"448","Sabine's Gull",0.0917084264894994,9,1.2,0.799999999999997,9.59999999999999
"449","Black-legged Kittiwake",0.119760158175874,4,1.3,0.5,5
"450","Caspian Tern",0.145365850271525,9,1.8,4.60000000000001,-1
"451","Great Crested-Tern",0.234906941187352,6.90000000000003,-0.300000000000001,3.5,9
"452","Common Tern",-0.0160003413464409,2,0.399999999999999,1.9,0
"453","Little Tern",0.0870113769896292,6,0.199999999999999,1.5,11.4
"454","Whiskered Tern",0.0454623740767577,10,0.699999999999999,3.1,3.8
"455","Black Tern",0.0514636376295945,5,0.0999999999999979,1.3,-1.59999999999999
"456","Brown Noddy",0.130916252386482,10,0.400000000000002,2.7,1.1
"457","Lesser Noddy",-0.214409871345455,-3.30000000000001,0.100000000000001,2.7,-0.100000000000009
"458","Common White-Tern",0.0505522791628312,0.799999999999983,0.900000000000002,0.799999999999997,1.89999999999999
"459","Dovekie",0.0196727655987052,2.59999999999999,0.400000000000002,0.600000000000001,0.799999999999997
"460","Common Murre",-0.00406918160672554,-2,0.5,1.4,-1.6
"461","Thick-billed Murre",0.0349426761840919,1,0.800000000000004,0.4,-1.2
"462","Black Guillemot",-0.0262482260749364,-1,-0.300000000000001,0.0999999999999943,0.300000000000004
"463","Marbled Murrelet",-0.0259282207228626,1.59999999999999,0.299999999999999,0.199999999999999,0.800000000000001
"464","Crested Auklet",0.0628216543701603,2.69999999999999,0.600000000000001,0.799999999999999,1.7
"465","Whiskered Auklet",0.0726553632552749,1.90000000000001,0.399999999999999,0.4,-0.0999999999999979
"466","Atlantic Puffin",0.0798296016524853,2,0.899999999999999,2.6,-0.799999999999997
"467","Red-tailed Tropicbird",-0.00683529660585691,0.800000000000011,0.300000000000001,1.1,0.399999999999991
"468","Masked Booby",-0.236375620082928,-14.8,-1,-0.400000000000006,-1.09999999999999
"469","Red-footed Booby",-0.14051128673394,-2.69999999999999,-0.899999999999999,-2.10000000000001,1
"470","Brown Booby",-0.122576434805578,-5.29999999999995,-2.9,-1.7,3
"471","Long-tailed Cormorant",0.102725468019822,6,0.700000000000003,1.4,1
"472","Little Pied Cormorant",0.133531392624523,8,0,1,1.79999999999998
"473","Neotropic Cormorant",0.163453072489572,17.5,2,2.3,12.6
"474","Double-crested Cormorant",0.176549417683434,14,1,2.2,8.80000000000001
"475","Little Black Cormorant",0.200670695462151,17,3,4,5.09999999999999
"476","Great Cormorant",0.182321556793955,20,4,7,4
"477","Crozet Shag",0.18313821670051,18,5.9,2,14.5
"478","Bronzed Shag",0.404214510233029,-5.5,1,-1,-1
"479","Red-faced Cormorant",0.258820450299126,18.6,-0.699999999999996,2.2,11.9
"480","Little Blue Heron",0.144581228811107,11,8.10000000000001,3.5,4.60000000000001
"481","Little Egret",0.0845573880280632,8,3.7,4.90000000000001,4
"482","Grey Heron",0.10057317453151,14,10,8,8
"483","Purple Heron",0.100226879138082,16,4,10,6
"484","Squacco Heron",-0.0208340869028421,9,1.8,3,7.69999999999999
"485","Yellow-crowned Night-Heron",0.0982474502565553,4,2,1,1
"486","Rufous Night-Heron",0.0921704597996573,38.5,2.8,4.2,5.60000000000001
"487","Little Bittern",0.0203396842371228,5,3.2,2.1,0.300000000000004
"488","Great Bittern",0.365166306176016,35,11,4.8,13
"489","Australasian Bittern",0.444233595371344,37,8.60000000000001,5.39999999999999,12
"490","Greater Flamingo",0.348842369056566,48,64,5,21
"491","White Ibis",0.304554633652907,25,15,31,10
"492","Glossy Ibis",0.0907920998295353,24,21,22,12
"493","White-faced Ibis",0.218002151813791,24.4,23.1,26.9,7.89999999999999
"494","Australian Ibis",0.222408490763207,28,17.2,36.5,1.3
"495","Straw-necked Ibis",0.168762027008322,24.5,14.4,29.5,5.69999999999999
"496","Eurasian Spoonbill",0.20924206207342,24,18,31,4
"497","Great White Pelican",0.411158138592709,64,13,81,14
"498","Pink-backed Pelican",0.193438396900294,45,9,52,6
"499","American White Pelican",0.330995929521041,49.7,6.8,54.7,9.5
"500","Brown Pelican",0.152733245146285,16,4,27,2
"501","Black Vulture",0.0589036625717743,-3.60000000000002,1.26000000000001,-0.289999999999999,3.5
"502","Magnificent Frigatebird",-0.26338458085406,-17,-0.5,-9,0
"503","Great Frigatebird",-0.274275412171666,-25.3,-1.6,-13.9,-23.8
"504","Lesser Frigatebird",-0.129211731480006,-10.3,-1.2,-5.60000000000001,-1.89999999999998
"505","Christmas Island Frigatebird",-0.101782694309943,-32,6.1,-21.3,-31
"506","Yellow-eyed Penguin",0.125163142954007,5,2,1.6,3.3
"507","Magellanic Penguin",0.170313407165558,9,3,4.3,-1.1
"508","Red-throated Loon",0.157530203151911,11,4.3,3.8,3.3
"509","Arctic Loon",0.397745354806061,15,3.40000000000001,0.5,0.900000000000006
"510","Pacific Loon",0.104934893178535,4.69999999999999,3,2.3,4
"511","Common Loon",0.19337139298054,22.2,5.7,2.5,5.4
"512","Antarctic Giant-Petrel",0.197217951419153,25.2,8.5,12.2,9
"513","Hall's Giant-Petrel",0.274844925691101,32.9599999999999,2,13.9,5
"514","Northern Fulmar",0.224841825144401,16,3.5,1.8,3
"515","Southern Fulmar",0.125952408977614,10,2,3.4,5
"516","Antarctic Petrel",0.0558284495529415,8,0,4,2
"517","Cape Petrel",0.0824966966351033,1,2,1,-2
"518","Snow Petrel",0.151709868266449,8,1,2.1,1.59999999999999
"519","Kerguelen Petrel",0.065948729105723,0.599999999999966,0.5,0.800000000000001,0.299999999999997
"520","Black-winged Petrel",0.0220575261614036,0,0.699999999999999,-0.199999999999999,-0.299999999999997
"521","Mottled Petrel",0.293882269462183,2.40000000000001,0.100000000000001,-0.199999999999999,-0.400000000000006
"522","Antarctic Prion",0.0447358938413913,1,0.399999999999999,0.300000000000001,1
"523","Fairy Prion",0.0330727482740221,1.90000000000001,0.199999999999996,0.5,1.19999999999999
"524","Bulwer's Petrel",0.0695932917991948,0.299999999999983,0.399999999999999,0.400000000000002,0.400000000000002
"525","White-chinned Petrel",0.0824436692110746,8.80000000000001,3.1,1.9,-2.7
"526","Black Petrel",0.0583795643153024,2.69999999999999,-0.600000000000001,1.3,1
"527","Cory's Shearwater",0.156333190929571,8.10000000000002,2.2,3.09999999999999,5.5
"528","Wedge-tailed Shearwater",-0.0377889531074578,0.300000000000011,0.699999999999999,1.2,1.60000000000002
"529","Short-tailed Shearwater",0.0588405000229333,-2,1.3,0.400000000000002,-1.40000000000001
"530","Manx Shearwater",0.0594614252213992,4,1,0.899999999999999,-0.200000000000003
"531","Common Diving-Petrel",0.0880834094181973,0.900000000000006,0.5,0.5,0.899999999999999
"532","Wandering Albatross",0.225616419726439,22,7,8,12
"533","Royal Albatross",0.156415686458111,23,11,13,12.2
"534","Black-browed Albatross",0.157300288730154,11.1,1.3,2.60000000000001,7.19999999999999
"535","Shy Albatross",0.161843025450414,5,5,6,3
"536","Grey-headed Albatross",0.00772204609391025,14,1,1,0.799999999999997
"537","Sooty Albatross",0.0363676441708751,13,3,7,18.7
"538","Wilson's Storm-Petrel",-0.0745330518625669,-4.19999999999999,-1.2,-0.299999999999999,-1.90000000000001
"539","White-faced Storm-Petrel",-0.0294138852062931,-1.80000000000001,0,-0.200000000000001,-3.60000000000001
"540","Black-bellied Storm-Petrel",-0.0472231269312169,-8.5,-1.2,0.200000000000001,-1.80000000000001
"541","Leach's Storm-Petrel",-0.00220507255831404,-2.59999999999999,0,0,0.299999999999997
"542","Rifleman",-0.22314355131421,-3.6,-0.599999999999998,-1.2,1.2
"543","South Island Wren",-0.215519626203551,-1,-1.2,-0.700000000000001,0
"544","Red-bellied Pitta",-0.0155905162291168,1.3,0.43,0.299999999999997,6.8
"545","Rainbow Pitta",-0.0727311935975585,1.2,0.300000000000004,0.399999999999999,0.100000000000001
"546","Noisy Pitta",0.0111393556907071,0.400000000000006,0.100000000000001,0.600000000000001,-1
"547","Western Wood-Pewee",0.0480092191863606,4,0.199999999999999,0,-3
"548","Willow Flycatcher",0.0158733491562901,3.53999999999999,-0.200000000000003,0.27,3.2
"549","Buff-breasted Flycatcher",0.050643732818755,4.9,0.200000000000001,0.4,1.7
"550","Black Phoebe",0.0822380982369717,3.89999999999999,0.399999999999999,0.5,4.2
"551","Vermilion Flycatcher",-0.0775582343458745,3.14999999999999,-0.760000000000002,-0.43,1.5
"552","Dusky-capped Flycatcher",0.100083458556983,5.2,1,0.5,4.5
"553","Tropical Kingbird",-0.0559400158823391,2.2,-0.300000000000001,0.200000000000003,0.599999999999994
"554","Cassin's Kingbird",0.0833816089390509,8.29999999999998,0.100000000000001,1.4,8.29999999999998
"555","Thick-billed Kingbird",0.0269558099885288,4,0.5,1.9,3.80000000000001
"556","Scissor-tailed Flycatcher",-0.00508906950747123,10.1,0.149999999999999,0.520000000000001,70.1
"557","Sulphur-bellied Flycatcher",-0.0169855463657438,6.3,0.400000000000002,0.199999999999999,3.5
"558","White-throated Treecreeper",-0.0176995770994011,1.40000000000001,0.800000000000001,0.700000000000003,1.19999999999999
"559","White-browed Treecreeper",0.0230957147946493,1,0.199999999999999,0.399999999999999,0.700000000000003
"560","Red-browed Treecreeper",0.0388817875442076,1.39999999999999,0.399999999999999,0.699999999999999,-1
"561","Brown Treecreeper",0.0229236399019368,2.2,0.5,0.0999999999999979,1.3
"562","Black-tailed Treecreeper",0.100397726315697,3.30000000000001,1.2,1.2,3.5
"563","Rufous Treecreeper",0.11633899208415,3,1,0.600000000000001,2.3
"564","Superb Lyrebird",0.245627773967253,30.5,9,1.9,329.4
"565","Noisy Scrub-bird",0.412244795093543,10.1,3.5,1.6,17.7
"566","Red-backed Fairywren",0,1,-0.0999999999999979,-0.4,-5.8
"567","White-winged Fairywren",0.0540672212702755,1.2,0.299999999999997,0,-0.800000000000004
"568","Superb Fairywren",0.062520356981334,1,0.699999999999999,-0.0999999999999996,-2.39999999999999
"569","Splendid Fairywren",0.0990909026442308,1.8,0.399999999999999,0,-0.399999999999999
"570","Variegated Fairywren",0.0122700925918142,0.900000000000006,0.5,0.300000000000001,3.40000000000001
"571","Lovely Fairywren",0.104140259252597,1.4,0.100000000000001,0,-1.7
"572","Red-winged Fairywren",0.062520356981334,2.2,0.0999999999999979,-0.199999999999999,5.3
"573","Blue-breasted Fairywren",0.0434851119397388,1.9,0.0999999999999979,0.299999999999999,2.7
"574","Purple-crowned Fairywren",0.0540672212702757,2.5,1,-0.300000000000001,3.7
"575","Rufous-crowned Emuwren",0.0606246218164348,1.2,0.300000000000001,0.399999999999999,6.2
"576","Southern Emuwren",-0.012903404835908,1.3,0,-0.5,5.7
"577","Grey Grasswren",0.0434851119397393,1.7,1.27,1.5,9.2
