"","trt.combined","caloric.treatment","parasite.treatment","body.mass","liver","kidney","spleen","heart","lungs","stomach.len","stomach","si.len","si","cecum.len","cecum","li.len","li","fat","lean.mass","lean.organ","rmr"
"31","restricted.polygyrus","restricted","polygyrus",23.86,0.3584,0.086,0.028,0.0262,0.037,15,0.0359,546,0.433756661,20,0.0139,71,0.0399,1.598446582,22.26155342,2.037597878,20.46278654
"32","restricted.polygyrus","restricted","polygyrus",19.58,0.3204,0.0756,0.0068,0.0231,0.0328,14,0.033,472,0.29487489,23,0.0104,80,0.0318,0.615589944,18.96441006,2.043749859,10.40175872
"33","restricted.polygyrus","restricted","polygyrus",26.05,0.3781,0.0948,0.0305,0.0257,0.0342,16,0.0422,522,0.392697033,23,0.0207,79,0.0435,3.393273368,22.65672663,2.005458545,19.80756199
"34","restricted.polygyrus","restricted","polygyrus",24.78,0.3481,0.0832,0.0293,0.0256,0.0375,17,0.0419,532,0.362513781,22,0.0207,76,0.0508,3.145035559,21.63496444,1.726658208,18.61749144
"35","restricted.polygyrus","restricted","polygyrus",24.61,0.3727,0.0751,0.0325,0.0234,0.0383,15,0.0436,507,0.444522278,23,0.0175,88,0.0506,1.471440004,23.13856,1.900943702,20.30169143
"36","restricted.polygyrus","restricted","polygyrus",25.59,0.3578,0.0814,0.0294,0.0263,0.0358,15,0.0406,469,0.416885925,22,0.0182,88,0.0347,3.352877779,22.23712222,1.706468537,19.48791279
"37","restricted.polygyrus","restricted","polygyrus",24.62,0.3564,0.0835,0.0219,0.0264,0.0359,15,0.0335,476,0.430909995,22,0.0183,80,0.0471,3.713551874,20.90644813,1.993974466,19.02148061
"38","restricted.polygyrus","restricted","polygyrus",22.98,0.3122,0.0837,0.0167,0.023,0.0306,14,0.0383,493,0.368249893,24,0.0169,83,0.0404,2.514921953,20.46507805,1.969458776,17.25578012
"39","restricted.polygyrus","restricted","polygyrus",23.02,0.3286,0.0899,0.0347,0.0237,0.0346,17,0.0412,533,0.381362435,24,0.0284,78,0.0506,1.884841117,21.13515888,2.021378745,21.81846625
"40","restricted.polygyrus","restricted","polygyrus",23.06,0.3545,0.0848,0.0314,0.0262,0.0341,18,0.0423,491,0.41343086,19,0.0216,64,0.0544,3.572349371,19.48765063,1.393989012,20.08234175
